"Mutation Probability" "Result" "Dynamic Ratio 2.0"
0.0 22 43.58974358974359%
0.001 27 30.76923076923077%
0.002 29 25.64102564102564%
0.003 29 25.64102564102564%
0.004 30 23.076923076923077%
0.005 31 20.51282051282051%
0.006 29 25.64102564102564%
0.007 32 17.94871794871795%
0.008 30 23.076923076923077%
0.009000000000000001 31 20.51282051282051%
0.010000000000000002 29 25.64102564102564%
0.011000000000000003 31 20.51282051282051%
0.012000000000000004 30 23.076923076923077%
0.013000000000000005 32 17.94871794871795%
0.014000000000000005 31 20.51282051282051%
0.015000000000000006 32 17.94871794871795%
0.016000000000000007 33 15.384615384615385%
0.017000000000000008 32 17.94871794871795%
0.01800000000000001 30 23.076923076923077%
0.01900000000000001 32 17.94871794871795%
0.02000000000000001 32 17.94871794871795%
0.02100000000000001 33 15.384615384615385%
0.022000000000000013 32 17.94871794871795%
0.023000000000000013 32 17.94871794871795%
0.024000000000000014 33 15.384615384615385%
0.025000000000000015 32 17.94871794871795%
0.026000000000000016 31 20.51282051282051%
0.027000000000000017 32 17.94871794871795%
0.028000000000000018 32 17.94871794871795%
0.02900000000000002 33 15.384615384615385%
0.03000000000000002 32 17.94871794871795%
0.03100000000000002 33 15.384615384615385%
0.03200000000000002 32 17.94871794871795%
0.03300000000000002 33 15.384615384615385%
0.03400000000000002 33 15.384615384615385%
0.035000000000000024 32 17.94871794871795%
0.036000000000000025 32 17.94871794871795%
0.037000000000000026 33 15.384615384615385%
0.03800000000000003 33 15.384615384615385%
0.03900000000000003 32 17.94871794871795%
0.04000000000000003 34 12.82051282051282%
0.04100000000000003 33 15.384615384615385%
0.04200000000000003 33 15.384615384615385%
0.04300000000000003 33 15.384615384615385%
0.04400000000000003 34 12.82051282051282%
0.04500000000000003 33 15.384615384615385%
0.046000000000000034 34 12.82051282051282%
0.047000000000000035 33 15.384615384615385%
0.048000000000000036 34 12.82051282051282%
0.04900000000000004 33 15.384615384615385%
0.05000000000000004 33 15.384615384615385%
0.05100000000000004 34 12.82051282051282%
0.05200000000000004 34 12.82051282051282%
0.05300000000000004 34 12.82051282051282%
0.05400000000000004 34 12.82051282051282%
0.05500000000000004 34 12.82051282051282%
0.05600000000000004 35 10.256410256410255%
0.057000000000000044 34 12.82051282051282%
0.058000000000000045 34 12.82051282051282%
0.059000000000000045 35 10.256410256410255%
0.060000000000000046 35 10.256410256410255%
0.06100000000000005 35 10.256410256410255%
0.06200000000000005 34 12.82051282051282%
0.06300000000000004 35 10.256410256410255%
0.06400000000000004 35 10.256410256410255%
0.06500000000000004 34 12.82051282051282%
0.06600000000000004 34 12.82051282051282%
0.06700000000000005 35 10.256410256410255%
0.06800000000000005 33 15.384615384615385%
0.06900000000000005 34 12.82051282051282%
0.07000000000000005 34 12.82051282051282%
0.07100000000000005 34 12.82051282051282%
0.07200000000000005 35 10.256410256410255%
0.07300000000000005 33 15.384615384615385%
0.07400000000000005 33 15.384615384615385%
0.07500000000000005 34 12.82051282051282%
0.07600000000000005 33 15.384615384615385%
0.07700000000000005 34 12.82051282051282%
0.07800000000000006 32 17.94871794871795%
0.07900000000000006 33 15.384615384615385%
0.08000000000000006 33 15.384615384615385%
0.08100000000000006 31 20.51282051282051%
0.08200000000000006 33 15.384615384615385%
0.08300000000000006 33 15.384615384615385%
0.08400000000000006 31 20.51282051282051%
0.08500000000000006 32 17.94871794871795%
0.08600000000000006 32 17.94871794871795%
0.08700000000000006 31 20.51282051282051%
0.08800000000000006 32 17.94871794871795%
0.08900000000000007 30 23.076923076923077%
0.09000000000000007 31 20.51282051282051%
0.09100000000000007 30 23.076923076923077%
0.09200000000000007 29 25.64102564102564%
0.09300000000000007 30 23.076923076923077%
0.09400000000000007 30 23.076923076923077%
0.09500000000000007 28 28.205128205128204%
0.09600000000000007 31 20.51282051282051%
0.09700000000000007 29 25.64102564102564%
0.09800000000000007 30 23.076923076923077%
0.09900000000000007 29 25.64102564102564%
