p cnf 60 800
9 7 1 17 10 15 14 27 20 10 6 32 36 3 27 26 4 33 10 19 25 7 25 10 21 5 4 31 2 9 30 3 8 31 20 11 39 26 38 11 29 36 3 17 39 30 4 35 15 14 14 33 13 31 33 34 36 29 18 3 0
30 21 8 0
-38 24 4 0
-50 23 -48 0
31 18 -26 0
46 -42 12 0
24 55 47 0
-30 22 -17 0
-14 43 4 0
34 57 -22 0
-30 35 16 0
-5 34 12 0
-21 44 -19 0
-51 -2 -47 0
1 49 33 0
9 21 -36 0
-2 60 33 0
-28 -51 27 0
-4 2 51 0
11 -1 27 0
-15 9 21 0
18 54 -26 0
-50 31 -7 0
-35 -5 -36 0
7 -8 -34 0
8 -45 9 0
-18 36 25 0
15 20 -10 0
-34 -45 -54 0
-55 -4 -21 0
52 13 -42 0
37 52 -2 0
58 -2 24 0
50 -40 -32 0
28 -30 -27 0
7 -20 -42 0
59 -29 -3 0
47 -49 52 0
52 6 -34 0
-50 41 51 0
-44 40 -39 0
-40 -8 2 0
-28 50 38 0
29 -38 -60 0
38 -16 -40 0
-36 46 -34 0
-15 -25 1 0
-25 15 -39 0
-7 30 -35 0
-22 24 4 0
-12 46 -30 0
47 60 28 0
-37 19 22 0
-16 -13 40 0
58 5 50 0
-57 40 -2 0
-56 48 -33 0
25 56 -55 0
13 -21 5 0
-58 -13 60 0
-9 46 23 0
5 -29 25 0
-41 -4 -35 0
-20 -42 -35 0
-25 40 -3 0
-28 -33 4 0
39 59 42 0
2 5 52 0
58 -43 24 0
32 46 37 0
-33 20 -13 0
35 -43 -25 0
6 31 13 0
39 -9 -27 0
56 45 -48 0
4 16 20 0
-21 -28 10 0
-30 51 21 0
33 -2 -46 0
1 55 38 0
-24 16 -56 0
53 -55 31 0
-48 19 9 0
18 55 -1 0
43 54 33 0
20 -47 -32 0
-59 26 -51 0
24 -52 25 0
15 17 4 0
-31 -51 47 0
45 -21 48 0
-13 -35 46 0
22 -43 -16 0
-25 14 44 0
4 -55 1 0
-42 -52 -47 0
33 -8 -6 0
-18 -38 -60 0
-36 -25 35 0
-51 9 60 0
-51 -28 -48 0
-48 -22 5 0
58 -43 5 0
20 23 42 0
42 59 48 0
3 26 -35 0
-6 -32 -11 0
-60 -37 -53 0
-33 -43 6 0
33 -57 6 0
1 38 -17 0
-1 17 -6 0
15 44 -9 0
15 -48 -56 0
57 -26 -15 0
-54 38 25 0
-19 -57 -54 0
-50 57 -16 0
14 1 23 0
2 29 -35 0
15 53 34 0
56 -7 -18 0
-21 4 41 0
-15 2 -59 0
-59 19 -42 0
-16 -13 15 0
-37 45 32 0
3 -1 -7 0
31 58 -17 0
32 -33 -55 0
43 -30 44 0
-56 14 54 0
-33 -52 12 0
-56 -44 24 0
9 43 -41 0
-36 -58 -3 0
-8 -54 19 0
-34 23 41 0
43 20 60 0
-24 38 -15 0
25 52 -42 0
45 -17 -22 0
40 -17 7 0
13 58 -37 0
58 -49 -26 0
-57 56 19 0
5 21 39 0
20 -60 51 0
45 23 -50 0
-4 -41 -48 0
52 -11 -27 0
-56 -26 -43 0
51 26 28 0
-42 -31 -16 0
-3 -31 -45 0
9 -41 -47 0
-55 28 31 0
43 35 -1 0
-31 36 40 0
23 1 -30 0
-35 -33 -22 0
21 40 -54 0
29 28 -25 0
-21 5 52 0
15 55 23 0
-52 -56 44 0
52 -27 57 0
52 -47 -60 0
7 52 43 0
8 -37 -22 0
-6 25 15 0
-32 8 -39 0
40 -26 -2 0
-29 -40 -52 0
21 49 -35 0
-12 44 -31 0
-8 53 1 0
-54 32 36 0
-42 6 20 0
42 15 55 0
28 21 -29 0
28 8 57 0
45 -52 8 0
-15 6 43 0
5 47 -40 0
5 -37 50 0
-24 48 3 0
-12 -54 -33 0
56 -23 -2 0
46 37 -34 0
60 -12 10 0
52 -49 -23 0
-51 -1 22 0
53 -45 55 0
-60 35 -25 0
-29 56 44 0
-34 -30 -5 0
-38 52 18 0
55 -49 -30 0
33 -49 22 0
-32 23 59 0
47 43 -50 0
26 -58 12 0
41 -55 -2 0
-25 -22 60 0
-46 -28 -47 0
-19 35 -45 0
44 -42 52 0
50 27 46 0
16 33 42 0
-50 44 39 0
-46 -55 -17 0
53 6 -29 0
-51 29 1 0
-22 -45 4 0
37 -26 38 0
-30 57 22 0
24 -27 -46 0
-4 6 -26 0
58 11 39 0
38 11 14 0
-22 55 -1 0
-12 36 41 0
-26 18 10 0
-34 -26 -16 0
-39 -37 -19 0
58 8 11 0
-6 35 24 0
10 -21 26 0
-40 -60 39 0
-48 26 -34 0
28 26 44 0
60 55 -13 0
6 -19 -57 0
-15 -60 -30 0
51 -21 28 0
-10 -49 -43 0
-29 51 42 0
-8 -57 -39 0
47 -58 -29 0
40 6 -13 0
21 13 47 0
-20 -25 -24 0
-9 7 -21 0
6 13 -56 0
52 -50 36 0
12 59 17 0
34 41 -37 0
8 -54 7 0
-14 60 -55 0
41 12 7 0
28 -21 46 0
-17 42 -36 0
22 -26 -57 0
53 -59 -17 0
-1 -19 13 0
19 14 -38 0
26 -10 -35 0
35 7 -22 0
-57 37 15 0
17 -7 14 0
-6 -42 28 0
-4 6 -19 0
11 35 55 0
55 49 48 0
-9 36 -51 0
37 -22 -18 0
34 27 56 0
34 8 -56 0
13 51 14 0
-6 -9 -45 0
-20 4 -13 0
-50 -38 -8 0
-6 -53 -34 0
18 5 29 0
37 -58 -26 0
-58 -56 16 0
-22 19 -3 0
23 -40 -13 0
31 -1 2 0
-5 -54 7 0
7 -4 9 0
51 -27 -22 0
8 -50 -33 0
-51 -37 18 0
30 6 -2 0
11 -28 8 0
26 -13 -17 0
-11 -3 -24 0
-33 -13 10 0
39 24 21 0
50 -47 58 0
-50 59 -6 0
-39 -28 -25 0
52 41 -59 0
17 11 -21 0
-10 20 -24 0
45 54 -37 0
-18 -38 -44 0
-42 32 7 0
-6 -22 -60 0
-45 -14 -9 0
-35 59 -4 0
55 -1 -4 0
-34 20 -41 0
-29 -18 -20 0
43 -44 10 0
-14 -30 -10 0
39 -18 59 0
4 45 12 0
59 10 -7 0
48 -42 41 0
-42 -51 -23 0
32 -25 -24 0
40 37 54 0
-8 -60 50 0
13 59 14 0
55 -50 -49 0
-9 -30 -19 0
25 -23 16 0
11 1 4 0
-6 60 -23 0
-54 -27 46 0
-56 -12 -39 0
53 45 33 0
20 -54 28 0
-20 -12 40 0
20 18 37 0
-47 -55 -15 0
35 -10 36 0
13 48 -34 0
6 46 45 0
28 9 -10 0
27 52 17 0
60 51 20 0
-51 -21 54 0
-21 55 44 0
30 -26 -6 0
44 -60 -14 0
-11 14 54 0
-13 -2 51 0
-31 19 -28 0
-25 59 -36 0
-22 -16 39 0
-27 -48 -1 0
10 16 -2 0
-4 -54 -51 0
-5 59 4 0
31 28 59 0
-9 -30 17 0
60 -13 -6 0
-22 38 -11 0
41 -25 20 0
-24 -58 7 0
55 35 28 0
-15 53 4 0
33 8 -23 0
39 -29 -52 0
-6 5 -8 0
-32 -41 39 0
