p cnf 40 125
17 10 15 11 3 8 3 18 2 6 5 9 24 10 8 8 24 10 8 21 10 4 1 13 20 20 7 16 6 12 10 11 7 17 12 3 4 15 22 2 0
-5 17 9 0
-31 -16 -5 0
23 -21 -26 0
-24 35 -1 0
-25 -26 31 0
-38 8 -27 0
14 1 35 0
26 35 7 0
-22 25 -1 0
-26 5 -6 0
35 -23 26 0
-12 8 7 0
-13 -18 29 0
-35 -12 33 0
40 -32 -15 0
-29 37 -2 0
7 5 18 0
-9 -11 10 0
-15 -2 -31 0
-30 -9 40 0
3 -22 28 0
-28 -25 17 0
-1 -31 36 0
-11 -30 32 0
9 -13 -22 0
-15 9 -7 0
21 -12 -16 0
-24 39 -25 0
30 -26 18 0
27 37 -12 0
-27 30 12 0
-20 34 -15 0
-24 -27 8 0
24 11 -37 0
10 -7 12 0
11 29 -6 0
24 -32 -28 0
23 5 -30 0
-11 32 -39 0
15 -22 21 0
23 -40 39 0
-22 37 -38 0
-30 -25 -4 0
9 18 30 0
24 30 25 0
28 -10 16 0
22 17 -18 0
-28 -27 23 0
-31 -36 17 0
38 40 30 0
-11 -3 -34 0
-3 38 19 0
-1 32 40 0
-20 8 27 0
-8 -2 24 0
-24 11 -35 0
24 -7 33 0
27 -22 -7 0
38 -12 24 0
-37 -6 34 0
-15 29 -17 0
10 3 -39 0
15 -32 19 0
-16 1 27 0
18 -35 2 0
11 -8 -38 0
-4 -37 -20 0
-39 -25 24 0
35 21 14 0
6 30 3 0
-17 -24 -39 0
-2 -39 21 0
-33 -2 -38 0
-4 -6 8 0
-34 23 -8 0
36 13 6 0
-3 -27 -11 0
-18 -15 29 0
-28 -20 -35 0
2 20 9 0
25 17 36 0
-39 27 11 0
-17 -2 4 0
6 23 -33 0
11 -5 -14 0
27 -25 37 0
-34 18 -2 0
18 -27 -39 0
31 22 40 0
-18 25 31 0
-30 38 -40 0
-32 -7 11 0
9 7 -36 0
-20 -26 -14 0
4 -21 -11 0
-9 -20 11 0
-21 30 -1 0
-4 -27 -28 0
-13 -33 18 0
-7 -5 14 0
-4 23 -21 0
5 37 31 0
16 21 -23 0
36 23 30 0
-16 -5 -40 0
-19 -1 -16 0
37 -30 26 0
30 10 -11 0
24 -38 8 0
-16 32 22 0
-12 21 22 0
3 8 -40 0
-33 -12 -28 0
18 1 10 0
12 21 -3 0
-11 -21 6 0
13 31 -25 0
35 -22 29 0
23 -24 9 0
22 -19 36 0
-25 20 6 0
18 -26 -3 0
-22 13 23 0
-37 36 6 0
-40 23 14 0
