p cnf 20 40
18 3 4 18 2 13 17 19 8 5 8 8 5 7 10 8 7 1 12 13 0
-4 -1 2 0
-13 15 -14 0
13 -8 18 0
10 20 -14 0
-1 7 -5 0
-5 -10 1 0
-15 8 -14 0
11 -19 -3 0
-7 19 -3 0
18 19 12 0
10 -14 5 0
-4 14 3 0
16 -11 20 0
-10 -5 -13 0
13 -18 -14 0
-13 -18 -10 0
-13 -14 -7 0
-1 -16 3 0
14 -13 -3 0
2 -12 11 0
-16 11 -19 0
-12 16 -9 0
-12 -17 -13 0
4 -2 -13 0
-6 -14 -12 0
17 -2 11 0
4 11 18 0
6 8 18 0
-9 14 -17 0
3 12 -17 0
8 -3 -4 0
-4 -8 -9 0
-20 6 -1 0
-19 -2 9 0
14 -3 7 0
17 -6 5 0
-7 5 18 0
1 5 -11 0
-12 10 20 0
-3 -18 8 0
