"Crossover Probability" "Result" "Ratio 2.0"
0.0 33 15.384615384615385%
0.01 33 15.384615384615385%
0.02 32 17.94871794871795%
0.03 32 17.94871794871795%
0.04 32 17.94871794871795%
0.05 33 15.384615384615385%
0.060000000000000005 32 17.94871794871795%
0.07 31 20.51282051282051%
0.08 33 15.384615384615385%
0.09 31 20.51282051282051%
0.09999999999999999 33 15.384615384615385%
0.10999999999999999 31 20.51282051282051%
0.11999999999999998 33 15.384615384615385%
0.12999999999999998 33 15.384615384615385%
0.13999999999999999 33 15.384615384615385%
0.15 32 17.94871794871795%
0.16 33 15.384615384615385%
0.17 34 12.82051282051282%
0.18000000000000002 33 15.384615384615385%
0.19000000000000003 32 17.94871794871795%
0.20000000000000004 33 15.384615384615385%
0.21000000000000005 32 17.94871794871795%
0.22000000000000006 32 17.94871794871795%
0.23000000000000007 33 15.384615384615385%
0.24000000000000007 34 12.82051282051282%
0.25000000000000006 31 20.51282051282051%
0.26000000000000006 32 17.94871794871795%
0.2700000000000001 32 17.94871794871795%
0.2800000000000001 31 20.51282051282051%
0.2900000000000001 33 15.384615384615385%
0.3000000000000001 32 17.94871794871795%
0.3100000000000001 32 17.94871794871795%
0.3200000000000001 33 15.384615384615385%
0.3300000000000001 33 15.384615384615385%
0.34000000000000014 32 17.94871794871795%
0.35000000000000014 32 17.94871794871795%
0.36000000000000015 31 20.51282051282051%
0.37000000000000016 32 17.94871794871795%
0.38000000000000017 33 15.384615384615385%
0.3900000000000002 32 17.94871794871795%
0.4000000000000002 33 15.384615384615385%
0.4100000000000002 32 17.94871794871795%
0.4200000000000002 32 17.94871794871795%
0.4300000000000002 33 15.384615384615385%
0.4400000000000002 32 17.94871794871795%
0.45000000000000023 31 20.51282051282051%
0.46000000000000024 32 17.94871794871795%
0.47000000000000025 33 15.384615384615385%
0.48000000000000026 31 20.51282051282051%
0.49000000000000027 33 15.384615384615385%
0.5000000000000002 33 15.384615384615385%
0.5100000000000002 31 20.51282051282051%
0.5200000000000002 34 12.82051282051282%
0.5300000000000002 34 12.82051282051282%
0.5400000000000003 31 20.51282051282051%
0.5500000000000003 30 23.076923076923077%
0.5600000000000003 33 15.384615384615385%
0.5700000000000003 32 17.94871794871795%
0.5800000000000003 32 17.94871794871795%
0.5900000000000003 32 17.94871794871795%
0.6000000000000003 33 15.384615384615385%
0.6100000000000003 32 17.94871794871795%
0.6200000000000003 32 17.94871794871795%
0.6300000000000003 33 15.384615384615385%
0.6400000000000003 32 17.94871794871795%
0.6500000000000004 32 17.94871794871795%
0.6600000000000004 33 15.384615384615385%
0.6700000000000004 32 17.94871794871795%
0.6800000000000004 32 17.94871794871795%
0.6900000000000004 33 15.384615384615385%
0.7000000000000004 31 20.51282051282051%
0.7100000000000004 32 17.94871794871795%
0.7200000000000004 32 17.94871794871795%
0.7300000000000004 32 17.94871794871795%
0.7400000000000004 33 15.384615384615385%
0.7500000000000004 31 20.51282051282051%
0.7600000000000005 31 20.51282051282051%
0.7700000000000005 31 20.51282051282051%
0.7800000000000005 32 17.94871794871795%
0.7900000000000005 33 15.384615384615385%
0.8000000000000005 31 20.51282051282051%
0.8100000000000005 31 20.51282051282051%
0.8200000000000005 32 17.94871794871795%
0.8300000000000005 31 20.51282051282051%
0.8400000000000005 32 17.94871794871795%
0.8500000000000005 32 17.94871794871795%
0.8600000000000005 32 17.94871794871795%
0.8700000000000006 32 17.94871794871795%
0.8800000000000006 32 17.94871794871795%
0.8900000000000006 32 17.94871794871795%
0.9000000000000006 33 15.384615384615385%
0.9100000000000006 30 23.076923076923077%
0.9200000000000006 32 17.94871794871795%
0.9300000000000006 32 17.94871794871795%
0.9400000000000006 31 20.51282051282051%
0.9500000000000006 31 20.51282051282051%
0.9600000000000006 32 17.94871794871795%
0.9700000000000006 32 17.94871794871795%
0.9800000000000006 32 17.94871794871795%
0.9900000000000007 31 20.51282051282051%
1.0000000000000007 32 17.94871794871795%
