"Population Size" "Result" "Ratio 1.5"
5 36 7.6923076923076925
10 37 5.128205128205128
15 36 7.6923076923076925
20 36 7.6923076923076925
25 37 5.128205128205128
30 36 7.6923076923076925
35 38 2.564102564102564
40 38 2.564102564102564
45 37 5.128205128205128
50 38 2.564102564102564
55 38 2.564102564102564
60 38 2.564102564102564
65 37 5.128205128205128
70 38 2.564102564102564
75 38 2.564102564102564
80 37 5.128205128205128
85 38 2.564102564102564
90 38 2.564102564102564
95 37 5.128205128205128
100 38 2.564102564102564
105 38 2.564102564102564
110 37 5.128205128205128
115 38 2.56410256410256
120 38 2.564102564102564
125 38 2.564102564102564
130 38 2.564102564102564
