0 20 4227 90 149 547 195 896 56 175 486 2 110 356 423 508 321 830 347 408 231 738 193 470 3 525 48 815 122 793 100 869 227 553 458 875 99 505 123 506 179 108 360
1 20 4651 641 464 782 500 784 464 698 44 194 435 236 15 937 113 915 103 234 207 54 103 934 458 412 160 409 416 282 414 947 242 773 439 205 407 438 340 870 488 883 415
2 20 4842 922 471 430 211 583 344 313 168 50 219 622 335 676 34 847 84 301 128 998 99 869 270 889 425 679 117 897 166 999 312 87 321 741 149 403 436 314 71 485 32
3 20 3568 544 172 707 429 18 291 230 497 788 180 718 409 69 494 585 99 610 481 264 461 144 202 781 384 351 184 319 164 106 156 695 1 679 401 930 196 191 11 192 330
4 20 4210 690 261 239 110 755 175 208 364 7 323 324 151 525 105 386 375 640 205 538 97 212 84 97 390 984 26 937 27 888 480 578 241 446 39 495 472 599 210 979 421
5 20 3889 886 129 297 342 866 171 981 422 60 429 133 143 877 374 979 403 662 5 142 142 712 71 234 10 110 80 481 60 289 311 480 174 291 129 867 157 299 199 78 211
6 20 4320 627 211 353 4 936 331 758 98 187 399 739 251 970 324 760 431 403 92 490 191 321 217 693 449 83 349 100 282 927 310 260 489 514 115 424 345 872 373 383 123
7 20 4225 463 133 444 286 744 374 188 336 715 231 738 35 799 430 836 233 279 287 866 57 96 126 397 109 240 320 805 464 545 188 938 7 172 381 793 416 254 332 251 468
8 20 4249 914 340 354 212 769 41 945 399 827 162 307 274 287 203 235 379 875 391 694 419 930 131 425 102 11 69 369 116 253 119 583 166 958 288 230 78 181 26 477 359
9 20 4452 687 135 633 326 838 219 204 212 609 249 130 39 879 406 992 241 827 360 856 79 978 290 596 287 429 325 364 109 350 192 320 37 327 304 362 164 522 417 227 130
10 20 4316 517 356 20 247 613 11 987 439 370 342 869 199 983 465 337 411 641 201 372 491 244 191 379 422 994 92 437 15 360 163 996 376 368 122 378 460 773 100 153 142
11 20 4428 798 135 458 135 897 98 187 268 440 282 310 318 56 303 909 492 169 120 507 17 495 228 884 468 562 113 779 335 712 431 328 10 417 137 996 314 234 34 933 174
12 20 4163 315 243 843 370 897 104 214 418 723 72 934 70 299 169 389 361 781 168 547 493 98 226 354 15 362 349 180 95 234 112 620 400 706 463 622 103 918 335 372 140
13 20 4385 258 305 561 56 825 450 768 105 117 166 449 66 891 302 80 252 502 111 199 235 723 170 635 428 984 256 382 401 442 253 893 51 409 453 606 233 402 226 838 370
14 20 3806 391 138 436 134 440 367 885 293 478 435 28 200 605 14 979 88 621 213 841 414 465 233 464 374 185 421 458 439 146 147 808 389 285 243 522 224 110 258 368 87
15 20 3374 193 395 138 149 760 468 88 232 180 428 145 145 12 460 870 49 381 179 487 378 326 146 766 110 241 139 685 202 397 52 640 441 799 277 89 410 596 28 642 276
16 20 4061 808 138 772 319 98 493 367 478 671 205 707 496 203 325 957 443 463 493 144 211 397 283 503 47 911 443 456 6 471 449 281 278 587 404 448 184 396 167 513 67
17 20 4182 371 219 414 425 395 223 367 358 67 362 420 315 644 423 713 406 865 169 412 335 969 44 964 55 448 412 590 195 578 102 613 300 673 379 225 419 101 443 628 19
18 20 3643 157 48 334 300 322 46 58 186 566 321 873 35 864 188 441 163 599 31 210 28 484 322 180 8 200 256 927 152 50 54 171 206 953 356 358 274 901 415 460 319
19 20 3547 235 184 705 450 871 145 465 322 527 174 349 363 495 380 870 47 635 148 698 185 54 220 890 6 75 247 280 328 13 91 146 247 774 202 49 144 513 317 225 186
