"Max Generations" "Result" "Ratio 2.0"
5 30 23.076923076923077%
10 30 23.076923076923077%
15 31 20.51282051282051%
20 31 20.51282051282051%
25 32 17.94871794871795%
30 31 20.51282051282051%
35 31 20.51282051282051%
40 32 17.94871794871795%
45 31 20.51282051282051%
50 32 17.94871794871795%
55 32 17.94871794871795%
60 31 20.51282051282051%
65 32 17.94871794871795%
70 32 17.94871794871795%
75 32 17.94871794871795%
80 30 23.076923076923077%
85 30 23.076923076923077%
90 31 20.51282051282051%
95 32 17.94871794871795%
100 32 17.94871794871795%
105 32 17.94871794871795%
110 31 20.51282051282051%
115 31 20.51282051282051%
120 31 20.51282051282051%
125 33 15.384615384615385%
130 32 17.94871794871795%
135 32 17.94871794871795%
140 33 15.384615384615385%
145 33 15.384615384615385%
150 32 17.94871794871795%
155 33 15.384615384615385%
160 32 17.94871794871795%
165 32 17.94871794871795%
170 32 17.94871794871795%
175 33 15.384615384615385%
180 31 20.51282051282051%
185 34 12.82051282051282%
190 33 15.384615384615385%
195 33 15.384615384615385%
200 33 15.384615384615385%
205 33 15.384615384615385%
210 33 15.384615384615385%
215 33 15.384615384615385%
220 33 15.384615384615385%
225 32 17.94871794871795%
230 32 17.94871794871795%
235 33 15.384615384615385%
240 32 17.94871794871795%
245 32 17.94871794871795%
250 31 20.51282051282051%
255 32 17.94871794871795%
260 31 20.51282051282051%
265 31 20.51282051282051%
270 33 15.384615384615385%
275 33 15.384615384615385%
280 33 15.384615384615385%
285 33 15.384615384615385%
290 34 12.82051282051282%
295 33 15.384615384615385%
300 33 15.384615384615385%
305 31 20.51282051282051%
310 31 20.51282051282051%
315 33 15.384615384615385%
320 32 17.94871794871795%
325 32 17.94871794871795%
330 33 15.384615384615385%
335 33 15.384615384615385%
340 33 15.384615384615385%
345 32 17.94871794871795%
350 32 17.94871794871795%
355 32 17.94871794871795%
360 33 15.384615384615385%
365 34 12.82051282051282%
370 32 17.94871794871795%
375 33 15.384615384615385%
380 33 15.384615384615385%
385 33 15.384615384615385%
390 33 15.384615384615385%
395 32 17.94871794871795%
400 34 12.82051282051282%
405 33 15.384615384615385%
410 32 17.94871794871795%
415 33 15.384615384615385%
420 33 15.384615384615385%
425 33 15.384615384615385%
430 33 15.384615384615385%
435 33 15.384615384615385%
440 33 15.384615384615385%
445 33 15.384615384615385%
450 33 15.384615384615385%
455 32 17.94871794871795%
460 32 17.94871794871795%
465 32 17.94871794871795%
470 33 15.384615384615385%
475 33 15.384615384615385%
480 33 15.384615384615385%
485 35 10.256410256410255%
490 32 17.94871794871795%
495 33 15.384615384615385%
500 33 15.384615384615385%
